,qs1,qs2,qs3,qs4,qs5,qs6,qs7,qs8,qs9,qs10,qs11,qs12,qs13,qs14,qs15,qs16,qs17,qs18,qs19,qs20,qs21,qs22,qs23,qs24,qs25,qs26,qs27,qs28,qs29,qs30,qs31,qs32,qs33,qs34,qs35,qs36,qs37,qs38,qs39,qs40,qs41,qs42,qs43,qs44,qs45,qs46,qs47,qs48,qs49,qs50
0,B,A,C,B,A,A,A,B,D,C,A,D,D,A,B,A,A,D,C,C,C,D,D,D,A,D,B,A,B,A,A,C,B,B,A,B,D,B,A,B,B,D,A,B,C,C,B,A,C,A
1,Adjective_Adverb,Adjective_Adverb,Verb,Relative_clause,Prepositions,Synonyms,Synonyms,Antonyms,Antonyms,Sentence_transformation,Sentence_transformation,Sentence_transformation,Pronunciation,Pronunciation,Stress,Stress,Error_identification,Error_identification,Error_identification,Identify_formation_of_words,Noun,Noun,Noun,Prepositions,Phrasal_verb,Noun,Noun,Verb_tenses,Verb_tenses,Adjective_Adverb,Phrasal_verb,Direct_indirect_sentence,Direct_indirect_sentence,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Sentence_transformation,Sentence_transformation
2,D,D,C,C,A,C,D,C,A,A,D,D,A,A,A,A,B,C,A,C,D,B,C,D,D,A,D,D,A,C,B,C,B,A,A,A,B,A,D,B,C,A,C,A,B,B,A,A,C,D
3,Pronunciation,Pronunciation,Stress,Stress,Noun,Noun,Adjective_Adverb,Direct_indirect_sentence,Verb_tenses,Phrasal_verb,Relative_clause,Direct_indirect_sentence,Phrasal_verb,Phrasal_verb,Phrasal_verb,Phrasal_verb,Comparison,Verb,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Error_identification,Error_identification,Error_identification,Noun,Prepositions,Conjunction,Verb,Conjunction,Synonyms,Synonyms,Antonyms,Antonyms,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Sentence_transformation,Sentence_transformation,Sentence_transformation,Sentence_transformation,Sentence_transformation
4,A,C,D,A,B,C,D,D,C,D,B,A,A,B,A,C,A,D,C,A,A,D,A,D,A,D,B,C,D,A,C,B,C,D,D,A,A,B,C,D,A,A,B,B,B,C,C,B,A,D
5,Pronunciation,Pronunciation,Stress,Stress,Noun,Direct_indirect_sentence,Noun,Direct_indirect_sentence,Noun,Verb,Noun,Conjunction,Conjunction,Phrasal_verb,Tag_Question,Verb_tenses,Noun,Noun,Synonyms,Synonyms,Antonyms,Antonyms,Adjective_Adverb,Noun,Identify_formation_of_words,Verb,Prepositions,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Error_identification,Error_identification,Error_identification,Sentence_transformation,Sentence_transformation,Sentence_transformation,Sentence_transformation,Sentence_transformation
6,A,C,B,A,C,A,C,A,C,D,D,A,B,D,C,B,A,C,D,B,C,A,B,D,A,A,D,C,B,C,D,A,B,D,D,D,C,A,B,B,A,D,D,C,B,B,B,B,C,A
7,Pronunciation,Pronunciation,Stress,Stress,Error_identification,Error_identification,Error_identification,Verb_tenses,Noun,Identify_formation_of_words,Prepositions,Phrasal_verb,Relative_clause,Adjective_Adverb,Adjective_Adverb,Articles_a_an_the,Adjective_Adverb,Relative_clause,Verb,Direct_indirect_sentence,Direct_indirect_sentence,Synonyms,Synonyms,Antonyms,Antonyms,Sentence_transformation,Sentence_transformation,Sentence_transformation,Sentence_transformation,Sentence_transformation,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading
8,D,A,A,D,A,D,B,C,A,B,C,A,D,C,D,B,A,C,C,A,D,C,C,D,A,C,C,C,A,A,A,B,A,B,A,A,D,A,D,A,B,A,D,C,B,C,D,D,C,B
9,Identify_formation_of_words,Adjective_Adverb,Verb,Noun,Verb,Pronunciation,Pronunciation,Stress,Stress,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Antonyms,Antonyms,Direct_indirect_sentence,Model_verb,Direct_indirect_sentence,Verb_tenses,Identify_formation_of_words,Verb,Prepositions,Phrasal_verb,Verb,Phrasal_verb,Noun,Direct_indirect_sentence,Verb_tenses,Comparison,Synonyms,Synonyms,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Error_identification,Error_identification,Error_identification,Sentence_transformation,Sentence_transformation,Sentence_transformation,Sentence_transformation,Sentence_transformation
10,D,A,A,B,D,A,B,C,A,D,C,B,B,B,A,B,B,B,A,A,B,A,D,B,D,D,C,C,D,D,A,A,C,A,D,D,C,C,C,D,B,C,C,C,C,D,C,A,B,D
11,Verb_tenses,Relative_clause,Noun,Conditinal,Identify_formation_of_words,Conditinal,Phrasal_verb,Adjective_Adverb,Noun,Noun,Phrasal_verb,Verb_tenses,Identify_formation_of_words,Direct_indirect_sentence,Verb,Phrasal_verb,Noun,Prepositions,Conjunction,Pronunciation,Pronunciation,Stress,Stress,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Error_identification,Error_identification,Error_identification,Synonyms,Synonyms,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Antonyms,Antonyms,Sentence_transformation,Sentence_transformation,Sentence_transformation,Sentence_transformation,Sentence_transformation
